Transaction_date,Product,Price,Payment_Type,Name,City,State,Country
1/2/09 6:17,Product1,1200,Mastercard,carolina,Basildon,England,United Kingdom
1/2/09 4:53,Product1,1200,Visa,Betina,Parkville                   ,MO,United States
1/2/09 13:08,Product1,1200,Mastercard,Federica e Andrea,Astoria                     ,OR,United States
1/3/09 14:44,Product1,1200,Visa,Gouya,Echuca,Victoria,Australia
1/4/09 12:56,Product2,3600,Visa,Gerd W ,Cahaba Heights              ,AL,United States
1/4/09 13:19,Product1,1200,Visa,LAURENCE,Mickleton                   ,NJ,United States
1/4/09 20:11,Product1,1200,Mastercard,Fleur,Peoria                      ,IL,United States
1/2/09 20:09,Product1,1200,Mastercard,adam,Martin                      ,TN,United States
1/4/09 13:17,Product1,1200,Mastercard,Renee Elisabeth,Tel Aviv,Tel Aviv,Israel
1/4/09 14:11,Product1,1200,Visa,Aidan,Chatou,Ile-de-France,France
1/5/09 2:42,Product1,1200,Diners,Stacy,New York                    ,NY,United States
1/5/09 5:39,Product1,1200,Amex,Heidi,Eindhoven,Noord-Brabant,Netherlands
1/2/09 9:16,Product1,1200,Mastercard,Sean ,Shavano Park                ,TX,United States
1/5/09 10:08,Product1,1200,Visa,Georgia,Eagle                       ,ID,United States
1/2/09 14:18,Product1,1200,Visa,Richard,Riverside                   ,NJ,United States
1/4/09 1:05,Product1,1200,Diners,Leanne,Julianstown,Meath,Ireland
1/5/09 11:37,Product1,1200,Visa,Janet,Ottawa,Ontario,Canada
1/6/09 5:02,Product1,1200,Diners,barbara,Hyderabad,Andhra Pradesh,India
1/6/09 7:45,Product2,3600,Visa,Sabine,London,England,United Kingdom
1/2/09 7:35,Product1,1200,Diners,Hani,Salt Lake City              ,UT,United States
1/6/09 12:56,Product1,1200,Visa,Jeremy,Manchester,England,United Kingdom
1/1/09 11:05,Product1,1200,Diners,Janis,Ballynora,Cork,Ireland
1/5/09 4:10,Product1,1200,Mastercard,Nicola,Roodepoort,Gauteng,South Africa
1/6/09 7:18,Product1,1200,Visa,asuman,Chula Vista                 ,CA,United States
1/2/09 1:11,Product1,1200,Mastercard,Lena,Kuopio,Ita-Suomen Laani,Finland
1/1/09 2:24,Product1,1200,Visa,Lisa,Sugar Land                  ,TX,United States
1/7/09 8:08,Product1,1200,Diners,Bryan Kerrene,New York                    ,NY,United States
1/2/09 2:57,Product1,1200,Visa,chris,London,England,United Kingdom
1/1/09 20:21,Product1,1200,Visa,Maxine,Morton                      ,IL,United States
1/8/09 0:42,Product1,1200,Visa,Family,Los Gatos                   ,CA,United States
1/8/09 3:56,Product1,1200,Mastercard,Katherine,New York                    ,NY,United States
1/8/09 3:16,Product1,1200,Mastercard,Linda,Miami                       ,FL,United States
1/8/09 1:59,Product1,1200,Mastercard,SYLVIA,Vesenaz,Geneve,Switzerland
1/3/09 9:03,Product1,1200,Diners,Sheila,Brooklyn                    ,NY,United States
1/5/09 13:17,Product1,1200,Mastercard,Stephanie,Badhoevedorp,Noord-Holland,Netherlands
1/6/09 7:46,Product1,1200,Amex,Kelly,Reston                      ,VA,United States
1/5/09 20:00,Product2,3600,Visa,James,Burpengary,Queensland,Australia
1/8/09 16:24,Product1,1200,Visa,jennifer,Phoenix                     ,AZ,United States
1/9/09 6:39,Product1,1200,Mastercard,Anneli,Houston                     ,TX,United States
1/6/09 22:19,Product2,3600,Amex,Ritz,Pittsfield                  ,VT,United States
1/6/09 23:00,Product2,3600,Amex,Sylvia,Pittsfield                  ,VT,United States
1/7/09 7:44,Product1,1200,Mastercard,Marie,Ball Ground                 ,GA,United States
1/3/09 13:24,Product1,1200,Visa,Mehmet Fatih,Helsingor,Frederiksborg,Denmark
1/7/09 15:12,Product2,3600,Visa,Anabela,Flossmoor                   ,IL,United States
1/7/09 20:15,Product1,1200,Amex,Nicole,Houston                     ,TX,United States
1/3/09 10:11,Product2,3600,Visa,Christiane ,Delray Beach                ,FL,United States
1/9/09 15:58,Product1,1200,Mastercard,Sari,Newbury,England,United Kingdom
1/3/09 13:11,Product1,1200,Mastercard,simone,Kobenhavn,Kobenhavn,Denmark
1/10/09 12:57,Product1,1200,Amex,Vanessa,Sandy Springs               ,GA,United States
1/10/09 14:43,Product1,1200,Diners,Anupam,Kinsaley,Dublin,Ireland
1/10/09 12:05,Product1,1200,Visa,Karina,Fort Lauderdale             ,FL,United States
1/6/09 1:20,Product1,1200,Mastercard,Frank,Melbourne,Victoria,Australia
1/10/09 14:56,Product1,1200,Visa,Angela,Ankeny                      ,IA,United States
1/7/09 10:01,Product1,1200,Visa,Darren,Pittsboro                   ,NC,United States
1/1/09 1:26,Product1,1200,Mastercard,Nikki,New Rochelle                ,NY,United States
1/11/09 2:04,Product1,1200,Visa,chris,Gold Coast,Queensland,Australia
1/11/09 14:17,Product1,1200,Visa,Stephanie,Brussels,Brussels (Bruxelles),Belgium
1/10/09 21:38,Product1,1200,Visa,Anushka,Maple Ridge District Municipality,British Columbia,Canada
1/7/09 6:18,Product1,1200,Mastercard,June ,Beachwood                   ,OH,United States
